"Site","Duration_Years","Canopy_Pct","Urban_Pct","Ag_Pct","Forest_Pct","Wastewater_NPDES","Dam","Lat","Long","Location","Region","WatershedArea_Km2","MADischarge_m3_per_s","Width_m","WaterTemp_degC","Elevation_m","AnnualGPP_gC_per_m2","AnnualER_gC_per_m2"
"Chattahoochee",2,,,,,"No","No","33*39'24""","–84*40'25""","Tennessee","North America",5335,100,120,,,111,225
"Blue River 1",1,,,,,"No","No",34.413539,-96.604545,"Oklahoma","North America",280,,15.8,17,,781.25,1764.71
"Blue River 1",1,,,,,"No","No",34.245202,-96.543831,"Oklahoma","North America",527.8,,18.2,17,,343.75,1235.29
"Blue River 1",1,,,,,"No","No","34.395130,",-96.608202,"Oklahoma","North America",300,,10.8,17,,2437.50,2029.41
"site 5",1,8.5,,,,"No","No",43.318437,-3.278812,,"North America",80,,8.2,12.1,,520.47,871.17
"site 7",1,31,,,,"No","No",43.279554,-3.25975,,"North America",100,,13.5,12.7,,573.39,500.64
"State Cr",1,,,,,"No","No",46.414676,-88.908014,"Michigan","North America",24,0.067,1.5,6.2,,102.66,1223.82
"Shane Cr",1,,,,,"No","No",46.477248,-88.905766,"Michigan","North America",45.5,0.041,1.5,6.7,,11.41,692.43
"Walton Cr",1,,,,,"No","No",46.439915,-88.896458,"Michigan","North America",36,0.046,1.5,6.4,,68.44,708.53
"Seine",1,,,,,"No","No",,,"France","Europe",78000,,,,,399,663
"Hugh White Cr.",1,,,,,"No","No",35.055097,-83.427578,"North Carolina","North America",0.61,,,12,820,2.90,112.00
"Fort River  ",2,80,,,,"No","No",42.359093,-72.513491,"Massachusetts  ","North America",104,,14,14,,203.03,587.76
"Bear Brook",2,,,,,"No","No",43.945673,-71.721825,"New Hampshire","North America",1.32,,,7,,1.75,52.00
"Murray River (Albury)",1,,,,,"No","Yes","-36.073593, 146.872960",,"Australia","Asia/Pacifica",17350,,,15,,221,287
"Murray River (Barmah)",1,,,,,"No","Yes","-36.060747, 144.904206",,"Australia","Asia/Pacifica",25200,,,16.5,,376,427
"Murray River (Hattah)",1,,,,,"No","Yes","-34.702433, 142.500025",,"Australia","Asia/Pacifica",275150,,,18.5,,315,315
"Klamath (Turwar)",1,0,,,,"No","No",,,"California","North America",40600,72,85,,,284.53125,401.6911764706
"Klamath (Weichpeck)",1,0,,,,"No","No",,,"California","North America",32200,44,51,,,455.3125,482.2058823529
"Klamath (Seiad)",1,0,,,,"No","No",,,"California","North America",27600,33,52,,,626.25,602.8676470588
"Shatto Creek",1,0,,,,"No","No","41°13'18""N","86°02'44""W","Indiana","North America",10.36,,,13,,496.5625,1638.0882352941
"Erpe",1,,,,,"Yes","No","52°29'14""N","13°38’42""E","Germany, near Berlin","Europe",10.343808,,4,13.5,,3140.14,9532.94
"Demnitzer Mill Brook",1,,,,,"Yes","No","52°25’14""N","14°14’7""E","Germany, near Berlin","Europe",1.450656,,3,16,,296.56,5652.13
"Demnitzer Mill Brook",1,,,,,"No","No","52°25’14""N","14°14’7""E","Germany, near Berlin","Europe",1.450656,,1,16,,426.59,3913.01
"Erpe",1,,,,,"No","No","52°29'14""N","13°38’42""E","Germany, near Berlin","Europe",10.343808,,1,13.5,,996.91,1996.76
"Rambla Salada",2,,,,,"No","No","38.124822, -1.119770",,"Spain","Europe",44.7,,19.56,15,,733.421875,629.625
"Zillierbach",1,100,,,,"No","No","51.807508, 10.768640",,"Germany","Europe",0.1450656,,1,8.6333333333,,35.15625,734.5588235294
"Hassel",1,0,,,,"No","No","51.680628, 10.875390",,"Germany","Europe",0.189216,,1,11.3333333333,,135,734.5588235294
"Ochsenbach",1,100,,,,"No","No","51.734081, 10.680254",,"Germany","Europe",0.2081376,,1,9.2,,23.90625,563.8235294118
"Rappbode",1,0,,,,"No","No","51.663102, 10.756129",,"Germany","Europe",1.89216,,2,12,,123.75,496.3235294118
"New Hope Creek NC",1,,,,,"No","No","35.992874,",-79.034422,"North Carolina","North America",85,,,16,,90.63,209.63
"Ray Branch",1,82,,,,"No","No","35.203330, -83.535851",,"North Carolina","North America",14.38,,4.8,15,,70,555.4411764706
"Caler Main",1,72,,,,"No","No","35.268722, -83.381330",,"North Carolina","North America",18.67,,4.3,15,,111.875,547.9411764706
"Crawford Branch",1,68,,,,"No","No","35.192366, -83.394384",,"North Carolina","North America",5.27,,2.4,15,,117.8125,516.1764705882
"Skeenah Creek",1,57,,,,"No","No","35.109082, -83.415069",,"North Carolina","North America",6.02,,3,15,,166.25,498.0882352941
"Jones Creek",1,73,,,,"No","No","35.058176, -83.430684",,"North Carolina","North America",15.31,,7.3,15,,101.875,377.2058823529
"Ball Creek",1,100,,,,"No","No","35.058176, -83.430684",,"North Carolina","North America",7.16,,4.6,15,,33.4375,300.4411764706
"Cowee Creek",1,64,,,,"No","No","35.269440, -83.390889",,"North Carolina","North America",29.13,,5.5,15,,92.5,348.5294117647
"Watauga Creek",1,69,,,,"No","No","35.226832, -83.355613",,"North Carolina","North America",16.7,,4,15,,78.75,306.6176470588
"Bates Creek",1,70,,,,"No","No","35.098883, -83.387816",,"North Carolina","North America",2.18,,2.9,15,,39.6875,94.4117647059
"OH2 (Reference)",2,,,,,"No","No",,,"Iceland","Europe",0.5,,,5,,219,693.5
"KM2  ",1,70,,,,"No","No","32.512117,",-84.66,"Georgia","North America",2.31,,1.6,16.6,"o2",18.49,930.37
"BC2  ",1,70,,,,"No","No","32.416537,",-84.760571,"Georgia","North America",0.749,,1,15.925,,29.57,683.20
"LC  ",1,70,,,,"No","No","32.502508,",-84.715391,"Georgia","North America",3.32,,1.9,17.675,,19.15,659.93
"BC1  ",1,70,,,,"No","No","32.411637,",-84.757277,"Georgia","North America",2.1,,1.3,15,,21.11,542.73
"KM1  ",1,70,,,,"No","No","32.513872,",-84.650105,"Georgia","North America",3.69,,1.9,16.4,,39.10,540.13
"SB2  ",1,70,,,,"No","No","32.377249,",-84.691754,"Georgia","North America",1.23,,1.5,16,,42.95,516.18
"LPK  ",11,70,,,,"No","No","32.378258,",-84.665925,"Georgia","North America",0.331,,0.8,17.225,,14.44,418.80
"SB4  ",1,70,,,,"No","No","32.376252,",-84.702107,"Georgia","North America",1,,1.3,16.55,,24.16,384.59
"HB  ",1,70,,,,"No","No",32.361192,-84.685445,"Georgia","North America",2.15,,1.7,15.975,,13.79,285.68
"SB3  ",1,70,,,,"No","No","32.377820,",-84.696732,"Georgia","North America",0.717,,1,15.725,,4.14,267.63
"Mississippi River",2,,,,,"No","No","43.723065, -91.256603",,"Minnesota","North America",167800,,,12,,875.2808503284,1146.631829365
